"GEO_ID","id"
"S2403_C01_016M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:"
"S2403_C01_017E","Estimate!!Total!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Professional, scientific, and technical services"
"S2403_C01_017M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Professional, scientific, and technical services"
"S2403_C01_018E","Estimate!!Total!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Management of companies and enterprises"
"S2403_C01_018M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Management of companies and enterprises"
"S2403_C01_019E","Estimate!!Total!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Administrative and support and waste management services"
"S2403_C01_019M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Administrative and support and waste management services"
"S2403_C01_020E","Estimate!!Total!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:"
"S2403_C01_020M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:"
"S2403_C01_021E","Estimate!!Total!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:!!Educational services"
"S2403_C01_021M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:!!Educational services"
"S2403_C01_022E","Estimate!!Total!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:!!Health care and social assistance"
"S2403_C01_022M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:!!Health care and social assistance"
"S2403_C01_023E","Estimate!!Total!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:"
"S2403_C01_023M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:"
"S2403_C01_024E","Estimate!!Total!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:!!Arts, entertainment, and recreation"
"S2403_C01_024M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:!!Arts, entertainment, and recreation"
"S2403_C01_025E","Estimate!!Total!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:!!Accommodation and food services"
"S2403_C01_025M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:!!Accommodation and food services"
"S2403_C01_026E","Estimate!!Total!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2403_C01_026M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2403_C01_027E","Estimate!!Total!!Civilian employed population 16 years and over!!Public administration"
"S2403_C01_027M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Public administration"
"S2403_C02_001E","Estimate!!Male!!Civilian employed population 16 years and over"
"S2403_C02_001M","Margin of Error!!Male!!Civilian employed population 16 years and over"
"S2403_C02_002E","Estimate!!Male!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:"
"S2403_C02_002M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:"
"S2403_C02_003E","Estimate!!Male!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting"
"S2403_C02_003M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting"
"S2403_C02_004E","Estimate!!Male!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Mining, quarrying, and oil and gas extraction"
"S2403_C02_004M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Mining, quarrying, and oil and gas extraction"
"S2403_C02_005E","Estimate!!Male!!Civilian employed population 16 years and over!!Construction"
"S2403_C02_005M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Construction"
"S2403_C02_006E","Estimate!!Male!!Civilian employed population 16 years and over!!Manufacturing"
"S2403_C02_006M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Manufacturing"
"S2403_C02_007E","Estimate!!Male!!Civilian employed population 16 years and over!!Wholesale trade"
"S2403_C02_007M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Wholesale trade"
"S2403_C02_008E","Estimate!!Male!!Civilian employed population 16 years and over!!Retail trade"
"S2403_C02_008M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Retail trade"
"S2403_C02_009E","Estimate!!Male!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:"
"S2403_C02_009M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:"
"S2403_C02_010E","Estimate!!Male!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:!!Transportation and warehousing"
"S2403_C02_010M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:!!Transportation and warehousing"
"S2403_C02_011E","Estimate!!Male!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:!!Utilities"
"S2403_C02_011M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:!!Utilities"
"S2403_C02_012E","Estimate!!Male!!Civilian employed population 16 years and over!!Information"
"S2403_C02_012M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Information"
"S2403_C02_013E","Estimate!!Male!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:"
"S2403_C02_013M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:"
"S2403_C02_014E","Estimate!!Male!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:!!Finance and insurance"
"S2403_C02_014M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:!!Finance and insurance"
"S2403_C02_015E","Estimate!!Male!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:!!Real estate and rental and leasing"
"S2403_C02_015M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:!!Real estate and rental and leasing"
"S2403_C02_016E","Estimate!!Male!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:"
"S2403_C02_016M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:"
"S2403_C02_017E","Estimate!!Male!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Professional, scientific, and technical services"
"S2403_C02_017M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Professional, scientific, and technical services"
"S2403_C02_018E","Estimate!!Male!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Management of companies and enterprises"
"S2403_C02_018M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Management of companies and enterprises"
"S2403_C02_019E","Estimate!!Male!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Administrative and support and waste management services"
"S2403_C02_019M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Administrative and support and waste management services"
"S2403_C02_020E","Estimate!!Male!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:"
"S2403_C02_020M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:"
"S2403_C02_021E","Estimate!!Male!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:!!Educational services"
"S2403_C02_021M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:!!Educational services"
"S2403_C02_022E","Estimate!!Male!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:!!Health care and social assistance"
"S2403_C02_022M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:!!Health care and social assistance"
"S2403_C02_023E","Estimate!!Male!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:"
"S2403_C02_023M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:"
"S2403_C02_024E","Estimate!!Male!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:!!Arts, entertainment, and recreation"
"S2403_C02_024M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:!!Arts, entertainment, and recreation"
"S2403_C02_025E","Estimate!!Male!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:!!Accommodation and food services"
"S2403_C02_025M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:!!Accommodation and food services"
"S2403_C02_026E","Estimate!!Male!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2403_C02_026M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2403_C02_027E","Estimate!!Male!!Civilian employed population 16 years and over!!Public administration"
"S2403_C02_027M","Margin of Error!!Male!!Civilian employed population 16 years and over!!Public administration"
"S2403_C03_001E","Estimate!!Percent Male!!Civilian employed population 16 years and over"
"S2403_C03_001M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over"
"S2403_C03_002E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:"
"S2403_C03_002M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:"
"S2403_C03_003E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting"
"S2403_C03_003M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting"
"S2403_C03_004E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Mining, quarrying, and oil and gas extraction"
"S2403_C03_004M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Mining, quarrying, and oil and gas extraction"
"S2403_C03_005E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Construction"
"S2403_C03_005M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Construction"
"S2403_C03_006E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Manufacturing"
"S2403_C03_006M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Manufacturing"
"S2403_C03_007E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Wholesale trade"
"S2403_C03_007M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Wholesale trade"
"S2403_C03_008E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Retail trade"
"S2403_C03_008M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Retail trade"
"S2403_C03_009E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:"
"S2403_C03_009M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:"
"S2403_C03_010E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:!!Transportation and warehousing"
"S2403_C03_010M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:!!Transportation and warehousing"
"S2403_C03_011E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:!!Utilities"
"S2403_C03_011M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:!!Utilities"
"S2403_C03_012E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Information"
"S2403_C03_012M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Information"
"S2403_C03_013E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:"
"S2403_C03_013M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:"
"S2403_C03_014E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:!!Finance and insurance"
"S2403_C03_014M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:!!Finance and insurance"
"S2403_C03_015E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:!!Real estate and rental and leasing"
"S2403_C03_015M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:!!Real estate and rental and leasing"
"S2403_C03_016E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:"
"S2403_C03_016M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:"
"S2403_C03_017E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Professional, scientific, and technical services"
"S2403_C03_017M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Professional, scientific, and technical services"
"S2403_C03_018E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Management of companies and enterprises"
"S2403_C03_018M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Management of companies and enterprises"
"S2403_C03_019E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Administrative and support and waste management services"
"S2403_C03_019M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Administrative and support and waste management services"
"S2403_C03_020E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:"
"S2403_C03_020M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:"
"S2403_C03_021E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:!!Educational services"
"S2403_C03_021M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:!!Educational services"
"S2403_C03_022E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:!!Health care and social assistance"
"S2403_C03_022M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:!!Health care and social assistance"
"S2403_C03_023E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:"
"S2403_C03_023M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:"
"S2403_C03_024E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:!!Arts, entertainment, and recreation"
"S2403_C03_024M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:!!Arts, entertainment, and recreation"
"S2403_C03_025E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:!!Accommodation and food services"
"S2403_C03_025M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:!!Accommodation and food services"
"S2403_C03_026E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2403_C03_026M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2403_C03_027E","Estimate!!Percent Male!!Civilian employed population 16 years and over!!Public administration"
"S2403_C03_027M","Margin of Error!!Percent Male!!Civilian employed population 16 years and over!!Public administration"
"S2403_C04_001E","Estimate!!Female!!Civilian employed population 16 years and over"
"S2403_C04_001M","Margin of Error!!Female!!Civilian employed population 16 years and over"
"S2403_C04_002E","Estimate!!Female!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:"
"S2403_C04_002M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:"
"S2403_C04_003E","Estimate!!Female!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting"
"S2403_C04_003M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting"
"S2403_C04_004E","Estimate!!Female!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Mining, quarrying, and oil and gas extraction"
"S2403_C04_004M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Mining, quarrying, and oil and gas extraction"
"S2403_C04_005E","Estimate!!Female!!Civilian employed population 16 years and over!!Construction"
"S2403_C04_005M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Construction"
"S2403_C04_006E","Estimate!!Female!!Civilian employed population 16 years and over!!Manufacturing"
"S2403_C04_006M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Manufacturing"
"S2403_C04_007E","Estimate!!Female!!Civilian employed population 16 years and over!!Wholesale trade"
"S2403_C04_007M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Wholesale trade"
"S2403_C04_008E","Estimate!!Female!!Civilian employed population 16 years and over!!Retail trade"
"S2403_C04_008M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Retail trade"
"S2403_C04_009E","Estimate!!Female!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:"
"S2403_C04_009M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:"
"S2403_C04_010E","Estimate!!Female!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:!!Transportation and warehousing"
"S2403_C04_010M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:!!Transportation and warehousing"
"S2403_C04_011E","Estimate!!Female!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:!!Utilities"
"S2403_C04_011M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:!!Utilities"
"S2403_C04_012E","Estimate!!Female!!Civilian employed population 16 years and over!!Information"
"S2403_C04_012M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Information"
"S2403_C04_013E","Estimate!!Female!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:"
"S2403_C04_013M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:"
"S2403_C04_014E","Estimate!!Female!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:!!Finance and insurance"
"S2403_C04_014M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:!!Finance and insurance"
"S2403_C04_015E","Estimate!!Female!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:!!Real estate and rental and leasing"
"S2403_C04_015M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:!!Real estate and rental and leasing"
"S2403_C04_016E","Estimate!!Female!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:"
"S2403_C04_016M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:"
"S2403_C04_017E","Estimate!!Female!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Professional, scientific, and technical services"
"S2403_C04_017M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Professional, scientific, and technical services"
"S2403_C04_018E","Estimate!!Female!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Management of companies and enterprises"
"S2403_C04_018M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Management of companies and enterprises"
"S2403_C04_019E","Estimate!!Female!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Administrative and support and waste management services"
"S2403_C04_019M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:!!Administrative and support and waste management services"
"S2403_C04_020E","Estimate!!Female!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:"
"S2403_C04_020M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:"
"S2403_C04_021E","Estimate!!Female!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:!!Educational services"
"S2403_C04_021M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:!!Educational services"
"S2403_C04_022E","Estimate!!Female!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:!!Health care and social assistance"
"S2403_C04_022M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance:!!Health care and social assistance"
"S2403_C04_023E","Estimate!!Female!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:"
"S2403_C04_023M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:"
"S2403_C04_024E","Estimate!!Female!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:!!Arts, entertainment, and recreation"
"S2403_C04_024M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:!!Arts, entertainment, and recreation"
"S2403_C04_025E","Estimate!!Female!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:!!Accommodation and food services"
"S2403_C04_025M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services:!!Accommodation and food services"
"S2403_C04_026E","Estimate!!Female!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2403_C04_026M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2403_C04_027E","Estimate!!Female!!Civilian employed population 16 years and over!!Public administration"
"S2403_C04_027M","Margin of Error!!Female!!Civilian employed population 16 years and over!!Public administration"
"S2403_C05_001E","Estimate!!Percent Female!!Civilian employed population 16 years and over"
"S2403_C05_001M","Margin of Error!!Percent Female!!Civilian employed population 16 years and over"
"S2403_C05_002E","Estimate!!Percent Female!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:"
"S2403_C05_002M","Margin of Error!!Percent Female!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:"
"S2403_C05_003E","Estimate!!Percent Female!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting"
"S2403_C05_003M","Margin of Error!!Percent Female!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting"
"S2403_C05_004E","Estimate!!Percent Female!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Mining, quarrying, and oil and gas extraction"
"S2403_C05_004M","Margin of Error!!Percent Female!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Mining, quarrying, and oil and gas extraction"
"S2403_C05_005E","Estimate!!Percent Female!!Civilian employed population 16 years and over!!Construction"
"S2403_C05_005M","Margin of Error!!Percent Female!!Civilian employed population 16 years and over!!Construction"
"S2403_C05_006E","Estimate!!Percent Female!!Civilian employed population 16 years and over!!Manufacturing"
"S2403_C05_006M","Margin of Error!!Percent Female!!Civilian employed population 16 years and over!!Manufacturing"
"S2403_C05_007E","Estimate!!Percent Female!!Civilian employed population 16 years and over!!Wholesale trade"
"S2403_C05_007M","Margin of Error!!Percent Female!!Civilian employed population 16 years and over!!Wholesale trade"
"S2403_C05_008E","Estimate!!Percent Female!!Civilian employed population 16 years and over!!Retail trade"
"S2403_C05_008M","Margin of Error!!Percent Female!!Civilian employed population 16 years and over!!Retail trade"
